iter	Logloss
0	0.6779276192
1	0.6650630298
2	0.6532577696
3	0.6420843126
4	0.6314911258
5	0.6225292034
6	0.6137445144
7	0.6055210596
8	0.5974608001
9	0.5901244198
10	0.5840054897
11	0.5779979
12	0.5717679182
13	0.5662713187
14	0.5616933361
15	0.5565788128
16	0.5521742075
17	0.5483556443
18	0.5440322318
19	0.5406161915
20	0.5371407916
21	0.5339953766
22	0.5310928778
23	0.5279536264
24	0.5254079264
25	0.5228855155
26	0.5205148908
27	0.5182006477
28	0.5159647718
29	0.5146264937
30	0.5126550973
31	0.5108733711
32	0.5095262091
33	0.5075367477
34	0.5058549782
35	0.5039733789
36	0.5023012879
37	0.5009972629
38	0.4997067496
39	0.4983768245
40	0.4969857619
41	0.4957195385
42	0.4946150691
43	0.4935130479
44	0.4927287977
45	0.4916898593
46	0.4907825868
47	0.4900175616
48	0.4893173038
49	0.4888831423
50	0.488011762
51	0.4871994661
52	0.4864348422
53	0.4857541304
54	0.4849683105
55	0.4844020424
56	0.4837579186
57	0.4830571133
58	0.4825230881
59	0.4817986844
60	0.4812474579
61	0.480644778
62	0.4800477809
63	0.4795807651
64	0.4790443974
65	0.4784142671
66	0.4781995122
67	0.4777085551
68	0.4772795955
69	0.4767446253
70	0.4761798627
71	0.4759557336
72	0.4755310995
73	0.4750175891
74	0.4745339532
75	0.4742077524
76	0.4738065961
77	0.473487533
78	0.4730432858
79	0.4727676434
80	0.4723715534
81	0.4721419666
82	0.4717574788
83	0.4714077146
84	0.4711797617
85	0.4708946891
86	0.4705772616
87	0.4701785924
88	0.4698270537
89	0.4695500666
90	0.4691962627
91	0.4689644181
92	0.4687638668
93	0.4684103743
94	0.467991003
95	0.467804203
96	0.4674161351
97	0.4671879594
98	0.4669740658
99	0.4668221465
