iter	Passed	Remaining
0	2	200
1	3	160
2	4	145
3	5	136
4	6	131
5	8	127
6	9	124
7	10	122
8	11	119
9	13	117
10	14	117
11	15	113
12	16	111
13	17	109
14	18	105
15	20	109
16	22	108
17	23	107
18	24	105
19	25	103
20	27	101
21	28	100
22	29	98
23	30	96
24	31	95
25	32	93
26	34	92
27	35	91
28	36	89
29	37	87
30	38	85
31	39	84
32	40	82
33	41	81
34	43	80
35	44	78
36	45	77
37	46	76
38	47	74
39	48	73
40	50	72
41	51	70
42	52	69
43	53	68
44	55	67
45	56	66
46	57	64
47	58	63
48	59	62
49	60	60
50	61	59
51	63	58
52	64	57
53	65	55
54	67	55
55	68	53
56	69	52
57	70	51
58	72	50
59	73	48
60	74	47
61	75	46
62	76	45
63	78	44
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	86	35
71	86	33
72	87	32
73	89	31
74	90	30
75	91	28
76	92	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	101	19
84	102	18
85	103	16
86	104	15
87	106	14
88	107	13
89	108	12
90	109	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	117	3
97	118	2
98	119	1
99	120	0
